#### pytwalk: twalk Output, finished: 2023.11.20:09:03:10
#"par 0", "par 1", "Energy"
277.948606782783 191.807346198847 -179.978548822843
277.948606782783 191.807346198847 -179.978548822843
276.258743036118 194.026386063768 -180.065363538598
276.258743036118 194.026386063768 -180.065363538598
280.064827476751 188.838946541337 -180.056301823563
298.59146824797 189.186748871779 -179.801829984087
239.829155280682 222.21520248504 -179.68297087093
297.632524088308 189.725741316013 -179.834246928736
297.632524088308 189.725741316013 -179.834246928736
297.632524088308 189.725741316013 -179.834246928736
302.26271358444 184.676036561006 -179.745039257447
302.26271358444 184.676036561006 -179.745039257447
326.163648496362 208.891975572675 -179.193375458452
326.163648496362 208.891975572675 -179.193375458452
326.163648496362 208.891975572675 -179.193375458452
326.163648496362 208.891975572675 -179.193375458452
326.163648496362 208.891975572675 -179.193375458452
326.163648496362 208.891975572675 -179.193375458452
333.41714544297 208.176607896923 -178.976223162586
333.41714544297 208.176607896923 -178.976223162586
213.034026001117 233.909532089277 -178.566179038008
333.510096273475 208.156738859751 -178.973450472285
333.510096273475 208.156738859751 -178.973450472285
333.510096273475 208.156738859751 -178.973450472285
333.510096273475 208.156738859751 -178.973450472285
333.510096273475 208.156738859751 -178.973450472285
231.247294385198 220.477194756354 -179.400513957974
231.247294385198 220.477194756354 -179.400513957974
231.247294385198 220.477194756354 -179.400513957974
334.109223532883 208.084556982865 -178.954637373064
334.109223532883 208.084556982865 -178.954637373064
222.588538091886 221.520387618875 -179.059655571787
222.588538091886 221.520387618875 -179.059655571787
222.588538091886 221.520387618875 -179.059655571787
222.588538091886 221.520387618875 -179.059655571787
222.588538091886 221.520387618875 -179.059655571787
236.331629019567 220.762130789483 -179.572545863809
236.331629019567 220.762130789483 -179.572545863809
236.331629019567 220.762130789483 -179.572545863809
236.331629019567 220.762130789483 -179.572545863809
236.331629019567 220.762130789483 -179.572545863809
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
241.593564896323 225.636679503437 -179.745836663978
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
304.957693715689 169.953480539567 -179.840179818612
290.153028769255 126.82191332893 -179.184593280426
311.16965605791 206.134224267432 -179.446579665261
311.16965605791 206.134224267432 -179.446579665261
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
303.201312199158 130.766785144754 -179.33615341391
301.645024614315 207.707344712053 -179.77134898007
