Integrated Autocorrelation time
0.09609 0.08246 0.15876
0.09548 0.08222 0.15606
0.09530 0.08018 0.15111
0.09971 0.08018 0.14740
0.10211 0.08162 0.14653
0.09910 0.08034 0.14680
0.09554 0.07517 0.14322
0.09625 0.07542 0.14249
0.09705 0.07652 0.14171
0.09762 0.07735 0.14112
0.09918 0.07926 0.13999
0.09966 0.07838 0.13929
0.09716 0.07782 0.13821
0.09494 0.07766 0.13788
0.09370 0.07754 0.13741
0.09384 0.07819 0.13733
0.09202 0.07251 0.13215
0.08776 0.06686 0.12727
0.08100 0.05958 0.12189
0.07364 0.05599 0.12054
0.06527 0.05268 0.11933
0.05752 0.04608 0.11568
0.05199 0.04362 0.11224
0.04940 0.04184 0.10961
0.04643 0.03540 0.10398
0.04479 0.03098 0.09887
0.04165 0.02777 0.09390
0.03669 0.02518 0.09057
0.03566 0.02489 0.08840
0.03374 0.02297 0.08488
0.03517 0.02592 0.08435
0.03467 0.02241 0.07970
0.03336 0.01659 0.07477
0.03475 0.01567 0.07284
0.03705 0.01575 0.07122
0.03714 0.01333 0.06878
0.03878 0.01469 0.06952
0.03708 0.01435 0.06904
0.03809 0.01436 0.06780
0.03973 0.01481 0.06772
0.03650 0.01366 0.06790
0.03724 0.01761 0.07203
0.04011 0.02009 0.07262
0.04067 0.02046 0.07303
0.04056 0.02027 0.07374
0.04119 0.01975 0.07381
0.04196 0.02085 0.07496
0.04160 0.02081 0.07446
0.04131 0.02213 0.07510
0.04148 0.02112 0.07329
0.04256 0.02165 0.07294
0.04281 0.01941 0.07038
0.04636 0.02225 0.07032
0.05783 0.02987 0.07124
0.06527 0.03495 0.07139
0.06778 0.03951 0.07406
0.07086 0.04632 0.07847
0.06978 0.04721 0.07854
0.06954 0.04855 0.07786
0.07480 0.05124 0.07581
0.07931 0.05835 0.07860
0.08532 0.06631 0.08258
0.08987 0.07187 0.08516
0.09559 0.07711 0.08598
0.09886 0.07715 0.08235
0.09916 0.07665 0.07898
0.09623 0.07325 0.07444
0.09483 0.07061 0.07056
0.09079 0.06500 0.06536
0.08493 0.05859 0.06029
0.08212 0.05732 0.05917
0.08410 0.05810 0.05881
0.08586 0.05681 0.05693
0.08478 0.05180 0.05347
