# Norm ||Ax - y|| 	 sqrt(x.T L x) 	 lambdas
393.791918433768728 	 15.031541554871831 	 0.000001000000000
393.791918434561069 	 15.031541554716657 	 0.000001203377841
393.791918435512514 	 15.031541554529788 	 0.000001448118228
393.791918436655124 	 15.031541554304789 	 0.000001742633386
393.791918438039659 	 15.031541554034165 	 0.000002097046401
393.791918439699486 	 15.031541553708619 	 0.000002523539170
393.791918441695827 	 15.031541553316600 	 0.000003036771118
393.791918444098144 	 15.031541552845246 	 0.000003654383071
393.791918446995567 	 15.031541552277552 	 0.000004397603609
393.791918450474839 	 15.031541551594559 	 0.000005291978736
393.791918454666643 	 15.031541550772685 	 0.000006368249945
393.791918459709393 	 15.031541549783556 	 0.000007663410868
393.791918465774415 	 15.031541548593502 	 0.000009221978823
393.791918473075441 	 15.031541547161355 	 0.000011097524964
393.791918481863036 	 15.031541545437696 	 0.000013354515629
393.791918492436082 	 15.031541543363968 	 0.000016070528183
393.791918505160879 	 15.031541540868107 	 0.000019338917505
393.791918520471484 	 15.031541537864641 	 0.000023272024790
393.791918538898472 	 15.031541534250410 	 0.000028005038942
393.791918561069338 	 15.031541529901384 	 0.000033700643293
393.791918587753230 	 15.031541524667407 	 0.000040554607358
393.791918619861690 	 15.031541518369146 	 0.000048802515837
393.791918658499242 	 15.031541510790099 	 0.000058727866132
393.791918704998352 	 15.031541501669663 	 0.000070671812739
393.791918760952171 	 15.031541490694050 	 0.000085044893418
393.791918828284736 	 15.031541477486149 	 0.000102341140211
393.791918909316905 	 15.031541461592425 	 0.000123155060329
393.791919006823719 	 15.031541442466283 	 0.000148202070580
393.791919124161495 	 15.031541419450003 	 0.000178343087693
393.791919265364868 	 15.031541391752803 	 0.000214614119786
393.791919435285308 	 15.031541358422734 	 0.000258261876068
393.791919639761488 	 15.031541318314147 	 0.000310786618778
393.791919885827781 	 15.031541270048089 	 0.000373993730248
393.791920181937712 	 15.031541211965916 	 0.000450055767570
393.791920538271540 	 15.031541142071131 	 0.000541587137808
393.791920967073565 	 15.031541057961219 	 0.000651733960488
393.791921483084423 	 15.031540956745337 	 0.000784282206134
393.791922104037837 	 15.031540834944506 	 0.000943787827778
393.791922851287950 	 15.031540688372033 	 0.001135733358343
393.791923750506669 	 15.031540511989943 	 0.001366716356462
393.791924832611755 	 15.031540299735649 	 0.001644676177995
393.791926134793641 	 15.031540044313427 	 0.001979166867854
393.791927701817656 	 15.031539736944161 	 0.002381685551976
393.791929587546065 	 15.031539367062464 	 0.002866067616948
393.791931856795429 	 15.031538921955690 	 0.003448962260406
393.791934587571745 	 15.031538386323938 	 0.004150404757850
393.791937873743962 	 15.031537741756814 	 0.004994505115855
393.791941828278652 	 15.031536966099036 	 0.006010276782070
393.791946587109749 	 15.031536032690186 	 0.007232633896484
393.791952313838237 	 15.031534909446858 	 0.008703591361485
393.791959205325441 	 15.031533557761708 	 0.010473708979594
393.791967498503993 	 15.031531931174436 	 0.012603829296797
393.791977478483204 	 15.031529973777628 	 0.015167168884709
393.791989488402919 	 15.031527618291275 	 0.018251834943190
393.792003941204086 	 15.031524783754591 	 0.021963853724165
393.792021333862181 	 15.031521372740160 	 0.026430814869741
393.792042264495876 	 15.031517268008040 	 0.031806256927941
393.792067452964147 	 15.031512328473456 	 0.038274944785163
393.792097765665403 	 15.031506384361235 	 0.046059220411451
393.792134245400860 	 15.031499231368199 	 0.055426645206631
393.792178147368759 	 15.031490623643947 	 0.066699196630301
393.792230982437502 	 15.031480265341255 	 0.080264335222572
393.792294569395210 	 15.031467800450473 	 0.096588322411587
393.792371097802970 	 15.031452800565368 	 0.116232246867985
393.792463203818613 	 15.031434750163642 	 0.139871310264724
393.792574061600476 	 15.031413028895267 	 0.168318035333096
393.792707493551973 	 15.031386890270189 	 0.202550193923067
393.792868103379078 	 15.031355436015785 	 0.243744415012222
393.793061436725566 	 15.031317585224661 	 0.293316627839004
393.793294175282313 	 15.031272037235007 	 0.352970730273065
393.793574371501279 	 15.031217226971496 	 0.424757155253690
393.793911732686070 	 15.031151271220796 	 0.511143348344017
393.794317965232779 	 15.031071904002095 	 0.615098578858050
393.794807192348458 	 15.030976398826335 	 0.740195999691564
393.795396461658697 	 15.030861475193859 	 0.890735463861044
393.796106363328477 	 15.030723186141149 	 1.071891319205129
393.796961784277528 	 15.030556783019197 	 1.289890261253308
393.797992830925978 	 15.030356552914434 	 1.552225357427048
393.799235961463637 	 15.030115623211898 	 1.867913599020785
393.800735380021024 	 15.029825726713783 	 2.247805833548725
393.802544760158298 	 15.029476919424191 	 2.704959730463137
393.804729385027429 	 15.029057241568699 	 3.255088599835056
393.807368818503562 	 15.028552310588154 	 3.917101490809261
393.810560257824250 	 15.027944832678479 	 4.713753134116729
393.814422767950532 	 15.027214016898260 	 5.672426068491977
393.819102665607033 	 15.026334872886562 	 6.826071834272393
393.824780414892530 	 15.025277369746782 	 8.214343584919423
393.831679525981144 	 15.024005429639470 	 9.884959046625585
393.840078129511653 	 15.022475725034267 	 11.895340673703208
393.850324151417396 	 15.020636243384565 	 14.314589375234785
393.862855366612507 	 15.018424577251292 	 17.225859653987875
393.878226105129102 	 15.015765891697985 	 20.729217795953698
393.897143079222474 	 15.012570514329703 	 24.945081352303166
393.920513774063807 	 15.008731087018298 	 30.018358135755921
393.949512207794442 	 15.004119212773526 	 36.123426997094306
393.985668769721428 	 14.998581527358420 	 43.470131581250264
394.030993489109107 	 14.991935124620680 	 52.310993080562582
394.088145738666583 	 14.983962269302779 	 62.949889902218878
