Integrated Autocorrelation time
5.64558 3.51190 10.40304
rho_gamma rho_delta rho_lambda
1.00000 1.00000 1.00000
0.46748 0.24265 0.83051
0.36173 0.19779 0.69096
0.28887 0.15771 0.57459
0.24456 0.14925 0.47950
0.18560 0.10087 0.39880
0.15615 0.09572 0.32967
0.11608 0.06801 0.27196
0.09993 0.05976 0.23023
0.07559 0.04228 0.19741
0.06852 0.05512 0.16605
0.05206 0.02356 0.13776
0.04689 0.02959 0.11936
0.04643 0.03364 0.10186
0.03590 0.03042 0.08581
0.01260 0.02968 0.07190
0.00805 0.02021 0.05822
0.01157 0.01469 0.04436
0.01351 0.00723 0.03178
0.01789 0.00025 0.01878
0.01339 0.00087 0.00981
0.01097 -0.00325 -0.00042
-0.00697 -0.01686 -0.00922
-0.00276 -0.00185 -0.02032
-0.01827 -0.02953 -0.02465
-0.00180 -0.00654 -0.02437
-0.00547 -0.01417 -0.01741
0.00463 0.00000 -0.01453
0.00250 0.00000 -0.01005
0.01725 0.00000 -0.00473
0.00740 0.00000 -0.00020
0.01197 0.00000 -0.00121
0.01091 0.00000 -0.00640
0.00889 0.00000 -0.00971
-0.00376 0.00000 -0.00457
-0.00804 0.00000 -0.00469
-0.01369 0.00000 -0.00462
-0.00007 0.00000 -0.00484
-0.00044 0.00000 -0.00369
0.00246 0.00000 -0.00326
0.01204 0.00000 -0.00644
0.00000 0.00000 -0.00863
0.00000 0.00000 -0.01252
0.00000 0.00000 -0.01439
0.00000 0.00000 -0.01638
0.00000 0.00000 -0.01342
0.00000 0.00000 -0.01026
0.00000 0.00000 -0.01130
0.00000 0.00000 -0.00964
0.00000 0.00000 -0.00882
0.00000 0.00000 -0.00976
0.00000 0.00000 -0.00634
0.00000 0.00000 -0.00684
0.00000 0.00000 -0.01026
0.00000 0.00000 -0.00960
0.00000 0.00000 -0.00410
0.00000 0.00000 -0.00379
0.00000 0.00000 -0.00237
0.00000 0.00000 -0.00175
0.00000 0.00000 0.00201
0.00000 0.00000 0.00274
0.00000 0.00000 0.00707
0.00000 0.00000 0.00989
0.00000 0.00000 0.00735
0.00000 0.00000 0.01198
0.00000 0.00000 0.01750
0.00000 0.00000 0.01883
0.00000 0.00000 0.01793
0.00000 0.00000 0.01789
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
